lwr,mean,upr,param,radius
-2.5876620570642417,-2.4147255709247815,-2.2546372315885366,b_intercept,1
-0.24665427165330872,-0.20752689874285346,-0.16986939859707822,b_het,1
-0.04185157123608162,-0.00997877124213829,0.02165773695581083,b_topo_roughness,1
-0.2779306535022067,-0.13974587502470143,0.002112544643562629,b_neighborhood_mean,1
0.9106398725721458,1.044008340253044,1.174290575297332,b_preFire_ndvi,1
-0.7099475963042657,-0.5691490223242744,-0.42278894898130404,b_fm100,1
0.20778492768082177,0.239122211806394,0.2710363895974619,b_pahl,1
-0.6204775552968274,-0.5728226766233874,-0.5256150735569719,b_neighborhood_mean_ndvi.preFire_ndvi,1
-0.22255064509735079,-0.12904048225286455,-0.033938699625201435,b_het_ndvi.neighborhood_mean_ndvi,1
0.028859692582355607,0.12540712425767106,0.2180565180301566,b_het_ndvi.preFire_ndvi,1
-0.08053794579484087,-0.03707830977762872,0.006422576786057002,b_het_ndvi.fm100,1
-29.389284397738596,0.937406518153488,32.47971292772171,b_intercept_prior,1
-1.9677823230558067,0.005150838262078428,1.966195089225998,b_het_prior,1
-1.9160517384438025,0.030653110490798746,1.950773700632625,b_topo_roughness_prior,1
-1.9537523683561708,-0.00970375356366169,1.936130137780715,b_neighborhood_mean_prior,1
-1.9146065379032606,0.030791988705411017,1.9920638265927173,b_preFire_ndvi_prior,1
-1.9817231825909465,-0.00563119637227012,1.9666330577220095,b_fm100_prior,1
-1.9998695038309025,-0.014512928598872403,1.9072569134624004,b_pahl_prior,1
-1.9874650465746273,0.007891293456570372,1.9154611556742274,b_neighborhood_mean_ndvi.preFire_ndvi_prior,1
-1.9892201442159314,0.01694392695679041,2.0178923351818927,b_het_ndvi.neighborhood_mean_ndvi_prior,1
-1.9467956490937828,0.013891698401640975,2.0182656204336427,b_het_ndvi.preFire_ndvi_prior,1
-1.9410769378297443,0.018080848143566263,1.9983528180591725,b_het_ndvi.fm100_prior,1
-2.604940047629369,-2.4319061344649833,-2.2713132642534646,b_intercept,2
-0.2551478944410388,-0.21178316915665701,-0.1700351214982795,b_het,2
-0.0392876497162647,-0.00558954298866693,0.026949992913645887,b_topo_roughness,2
-0.38084453355354114,-0.26484580795498885,-0.14849228641725892,b_neighborhood_mean,2
1.0277290816833737,1.1299300625172273,1.228723327232709,b_preFire_ndvi,2
-0.7093393878674702,-0.5641294622693744,-0.41937348713649636,b_fm100,2
0.20507628502144137,0.2377081781053995,0.2688900794704814,b_pahl,2
-0.6120761987468935,-0.5639667108970892,-0.5159115901390423,b_neighborhood_mean_ndvi.preFire_ndvi,2
-0.15109156010734795,-0.0775284397589298,-0.006085939710129654,b_het_ndvi.neighborhood_mean_ndvi,2
-0.013432790952882374,0.05989367009225454,0.1348142445814581,b_het_ndvi.preFire_ndvi,2
-0.07824966674652692,-0.03470757025931865,0.009936341435123964,b_het_ndvi.fm100,2
-33.237142389067735,0.23628913180002278,32.19130316108186,b_intercept_prior,2
-1.943798546635031,-0.012962733919896831,1.9225493873624444,b_het_prior,2
-2.0197385788038202,-0.023634636381000183,1.9579608014466998,b_topo_roughness_prior,2
-1.9219085866240808,0.012288826699274592,1.9473240007190709,b_neighborhood_mean_prior,2
-1.9786181892028323,-0.0166768087222371,1.9870895123983536,b_preFire_ndvi_prior,2
-2.0259024606116443,-0.020155437378281127,1.9602527116541575,b_fm100_prior,2
-1.9401068001756445,0.012125234734050661,1.944466041515713,b_pahl_prior,2
-1.9375469714740887,6.079479115858449e-4,1.8815211676545405,b_neighborhood_mean_ndvi.preFire_ndvi_prior,2
-2.026345528412613,-0.0054749637575772355,1.9572399378481966,b_het_ndvi.neighborhood_mean_ndvi_prior,2
-1.9905063156831253,0.0027955505276732163,1.956320624466023,b_het_ndvi.preFire_ndvi_prior,2
-1.93819471242518,0.007435598881285277,1.9815126997166217,b_het_ndvi.fm100_prior,2
-2.6191957592887087,-2.447349761489997,-2.27916487972618,b_intercept,3
-0.24800781412707437,-0.20254850532169566,-0.15802090239574293,b_het,3
-0.03654480463895608,-0.002404927642842256,0.031652836640957846,b_topo_roughness,3
-0.3918055573380703,-0.2926696493848144,-0.1931945388697419,b_neighborhood_mean,3
1.0565482376223643,1.1413149622018928,1.2222095716519092,b_preFire_ndvi,3
-0.6968382583533045,-0.5613551935913121,-0.42786469364306395,b_fm100,3
0.2069068566876587,0.23859731035977605,0.26933291223522743,b_pahl,3
-0.595744013513202,-0.549281014343592,-0.5024821956894583,b_neighborhood_mean_ndvi.preFire_ndvi,3
-0.0947264820250819,-0.029618177060367294,0.034966450178204093,b_het_ndvi.neighborhood_mean_ndvi,3
-0.04524334784525293,0.02226765213617957,0.09002727418203725,b_het_ndvi.preFire_ndvi,3
-0.07615377812911875,-0.030054704647902143,0.013743199395637168,b_het_ndvi.fm100,3
-33.07980566302616,0.27003320359423755,31.616121236328784,b_intercept_prior,3
-1.890449287733317,0.003700706600334132,1.9565974646115347,b_het_prior,3
-1.9891861078032735,0.002334588367224659,1.9494122608513795,b_topo_roughness_prior,3
-1.9514069006905177,0.007202542550310574,1.961800183970112,b_neighborhood_mean_prior,3
-1.973191845232309,0.0034530434065192643,1.9928129601364237,b_preFire_ndvi_prior,3
-2.005564211487873,-0.008379687687884822,1.9068464029878167,b_fm100_prior,3
-1.9208214268279855,0.015712825024231315,1.961655242288739,b_pahl_prior,3
-1.861804551214447,0.0016715799093413384,1.9240429141025277,b_neighborhood_mean_ndvi.preFire_ndvi_prior,3
-1.9323864487097195,-0.016983610855827298,1.9485104529972845,b_het_ndvi.neighborhood_mean_ndvi_prior,3
-1.9686741231857137,0.006705147266157359,1.979249359796045,b_het_ndvi.preFire_ndvi_prior,3
-1.9281546979171158,-0.006490570941147723,1.9316613002832075,b_het_ndvi.fm100_prior,3
-2.618178150887466,-2.4503173268248286,-2.2881231144078167,b_intercept,4
-0.24223477995884532,-0.19472685147464006,-0.1483411852684413,b_het,4
-0.036287170084923735,-0.0017581816494039615,0.03333393285689099,b_topo_roughness,4
-0.3890723758074973,-0.29306929708566165,-0.19791259617044987,b_neighborhood_mean,4
1.0564398749365211,1.1323696174331814,1.208518289697423,b_preFire_ndvi,4
-0.7123697561166403,-0.5649500204613341,-0.4221730528651227,b_fm100,4
0.20936877762817854,0.24030533090043937,0.27231316151316687,b_pahl,4
-0.5874587103865733,-0.5374423561089542,-0.4895861436613335,b_neighborhood_mean_ndvi.preFire_ndvi,4
-0.06791938996557081,-0.006370922258882899,0.053557688987227826,b_het_ndvi.neighborhood_mean_ndvi,4
-0.05365122821172602,0.008844081654397831,0.07231695126442379,b_het_ndvi.preFire_ndvi,4
-0.06992016077944498,-0.023367936535347293,0.022930782414025484,b_het_ndvi.fm100,4
-30.66567554181072,0.5691328605161213,32.348043748195316,b_intercept_prior,4
-1.9752237507389785,0.015690045188991874,2.0097414955811352,b_het_prior,4
-1.9444299835857108,-3.260402217828199e-4,1.958065953361382,b_topo_roughness_prior,4
-1.9339429894510236,-0.014276782487769878,1.9678825350540323,b_neighborhood_mean_prior,4
-1.951576952787329,-2.9132186847978753e-4,1.9334517961166626,b_preFire_ndvi_prior,4
-1.957876366623249,-0.013699053837824207,1.9261994257084931,b_fm100_prior,4
-2.023127623885922,-0.019718625441180686,1.9160212827505572,b_pahl_prior,4
-1.974507538460107,-0.0018211626876323463,1.951481576410354,b_neighborhood_mean_ndvi.preFire_ndvi_prior,4
-1.9914687697733964,-0.005123795195049664,1.94027329917726,b_het_ndvi.neighborhood_mean_ndvi_prior,4
-1.9209455634674923,0.02137554087895285,1.9927107007804987,b_het_ndvi.preFire_ndvi_prior,4
-1.9201300329545918,-0.015750534101616923,1.9180753836738156,b_het_ndvi.fm100_prior,4
