Value,EVT_Name
-9999,No Data
0,None
11,Open Water
12,Snow-Ice
13,Developed-Upland Deciduous Forest
14,Developed-Upland Evergreen Forest
15,Developed-Upland Mixed Forest
16,Developed-Upland Herbaceous
17,Developed-Upland Shrubland
18,Developed-Herbaceous Wetland Vegetation
19,Developed-Woody Wetland Vegetation
20,Developed-General
21,Developed-Open Space
22,Developed-Low Intensity
23,Developed-Medium Intensity
24,Developed-High Intensity
25,Developed-Roads
31,Barren
32,Quarries-Strip Mines-Gravel Pits
60,NASS-Orchard
61,NASS-Vineyard
62,NASS-Bush fruit and berries
63,NASS-Row Crop-Close Grown Crop
64,NASS-Row Crop
65,NASS-Close Grown Crop
66,NASS-Fallow/Idle Cropland
67,NASS-Pasture and Hayland
75,Herbaceous Semi-dry
76,Herbaceous Semi-wet
78,Recently Disturbed Forest
80,Agriculture-General
81,Agriculture-Pasture and Hay
82,Agriculture-Cultivated Crops and Irrigated Agriculture
83,Agriculture-Small Grains
84,Agriculture-Fallow
85,Agriculture-Urban and Recreational Grasses
95,Herbaceous Wetlands
200,Unclassified Sparsely Vegetated Systems
201,Unclassified Forest and Woodland
202,Unclassified Shrubland
203,Unclassified Upland Herbaceous
204,Unclassified Savanna
205,Unclassified Shrub-Steppe
206,Unclassified Grassland
207,Unclassified Wetland-Riparian Herbaceous
2001,Inter-Mountain Basins Sparsely Vegetated Systems
2002,Mediterranean California Sparsely Vegetated Systems
2003,North Pacific Sparsely Vegetated Systems
2004,North American Warm Desert Sparsely Vegetated Systems
2005,Pacific Coastal Dunes and Other Sparsely Vegetated Systems
2006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
2007,Western Great Plains Sparsely Vegetated Systems
2008,North Pacific Oak Woodland
2009,Northwestern Great Plains Aspen Forest and Parkland
2010,Northern Rocky Mountain Western Larch Savanna
2011,Rocky Mountain Aspen Forest and Woodland
2012,Rocky Mountain Bigtooth Maple Ravine Woodland
2013,Western Great Plains Dry Bur Oak Forest and Woodland
2014,Central and Southern California Mixed Evergreen Woodland
2015,California Coastal Redwood Forest
2016,Colorado Plateau Pinyon-Juniper Woodland
2017,Columbia Plateau Western Juniper Woodland and Savanna
2018,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
2019,Great Basin Pinyon-Juniper Woodland
2020,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
2021,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland
2022,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland
2023,Madrean Encinal
2024,Madrean Lower Montane Pine-Oak Forest and Woodland
2025,Madrean Pinyon-Juniper Woodland
2026,Madrean Upper Montane Conifer-Oak Forest and Woodland
2027,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
2028,Mediterranean California Mesic Mixed Conifer Forest and Woodland
2029,Mediterranean California Mixed Oak Woodland
2030,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland
2031,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
2032,Mediterranean California Red Fir Forest
2033,Mediterranean California Subalpine Woodland
2034,Mediterranean California Mesic Serpentine Woodland and Chaparral
2035,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland
2036,North Pacific Hypermaritime Seasonal Sitka Spruce Forest
2037,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest
2038,North Pacific Maritime Mesic Subalpine Parkland
2039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest
2040,North Pacific Mesic Western Hemlock-Yellow-cedar Forest
2041,North Pacific Mountain Hemlock Forest
2042,North Pacific Mesic Western Hemlock-Silver Fir Forest
2043,Mediterranean California Mixed Evergreen Forest
2044,Northern California Mesic Subalpine Woodland
2045,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
2046,Northern Rocky Mountain Subalpine Woodland and Parkland
2047,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
2048,Northwestern Great Plains Highland White Spruce Woodland
2049,Rocky Mountain Foothill Limber Pine-Juniper Woodland
2050,Rocky Mountain Lodgepole Pine Forest
2051,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
2052,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
2053,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
2054,Southern Rocky Mountain Ponderosa Pine Woodland
2055,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
2056,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
2057,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
2058,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
2059,Southern Rocky Mountain Pinyon-Juniper Woodland
2060,East Cascades Oak-Ponderosa Pine Forest and Woodland
2061,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
2062,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
2063,North Pacific Broadleaf Landslide Forest and Shrubland
2064,Colorado Plateau Mixed Low Sagebrush Shrubland
2065,Columbia Plateau Scabland Shrubland
2066,Inter-Mountain Basins Mat Saltbush Shrubland
2067,Mediterranean California Alpine Fell-Field
2068,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow
2069,North Pacific Mesic Low Shrubland
2070,Rocky Mountain Alpine Dwarf-Shrubland
2071,Sierra Nevada Alpine Dwarf-Shrubland
2072,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe
2073,Baja Semi-Desert Coastal Succulent Scrub
2074,Chihuahuan Creosotebush Desert Scrub
2075,Chihuahuan Mixed Salt Desert Scrub
2076,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub
2077,Chihuahuan Succulent Desert Scrub
2078,Colorado Plateau Blackbrush-Mormon-tea Shrubland
2079,Great Basin Xeric Mixed Sagebrush Shrubland
2080,Inter-Mountain Basins Big Sagebrush Shrubland
2081,Inter-Mountain Basins Mixed Salt Desert Scrub
2082,Mojave Mid-Elevation Mixed Desert Scrub
2083,North Pacific Avalanche Chute Shrubland
2084,North Pacific Montane Shrubland
2085,Northwestern Great Plains Shrubland
2086,Rocky Mountain Lower Montane-Foothill Shrubland
2087,Sonora-Mojave Creosotebush-White Bursage Desert Scrub
2088,Sonora-Mojave Mixed Salt Desert Scrub
2089,Sonoran Brittlebush-Ironwood Desert Scrub
2090,Sonoran Granite Outcrop Desert Scrub
2091,Sonoran Mid-Elevation Desert Scrub
2092,Southern California Coastal Scrub
2093,Southern Colorado Plateau Sand Shrubland
2094,Western Great Plains Sandhill Steppe
2095,Apacherian-Chihuahuan Mesquite Upland Scrub
2096,California Maritime Chaparral
2097,California Mesic Chaparral
2098,California Montane Woodland and Chaparral
2099,California Xeric Serpentine Chaparral
2100,Chihuahuan Mixed Desert and Thornscrub
2101,Madrean Oriental Chaparral
2102,Colorado Plateau Pinyon-Juniper Shrubland
2103,Great Basin Semi-Desert Chaparral
2104,Mogollon Chaparral
2105,Northern and Central California Dry-Mesic Chaparral
2106,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
2107,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
2108,Sonora-Mojave Semi-Desert Chaparral
2109,Sonoran Paloverde-Mixed Cacti Desert Scrub
2110,Southern California Dry-Mesic Chaparral
2111,Western Great Plains Mesquite Woodland and Shrubland
2112,California Central Valley Mixed Oak Savanna
2113,California Coastal Live Oak Woodland and Savanna
2114,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna
2115,Inter-Mountain Basins Juniper Savanna
2116,Madrean Juniper Savanna
2117,Southern Rocky Mountain Ponderosa Pine Savanna
2118,Southern California Oak Woodland and Savanna
2119,Southern Rocky Mountain Juniper Woodland and Savanna
2120,Willamette Valley Upland Prairie and Savanna
2121,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
2122,Chihuahuan Gypsophilous Grassland and Steppe
2123,Columbia Plateau Steppe and Grassland
2124,Columbia Plateau Low Sagebrush Steppe
2125,Inter-Mountain Basins Big Sagebrush Steppe
2126,Inter-Mountain Basins Montane Sagebrush Steppe
2127,Inter-Mountain Basins Semi-Desert Shrub-Steppe
2128,Northern California Coastal Scrub
2129,California Central Valley and Southern Coastal Grassland
2130,California Mesic Serpentine Grassland
2131,California Northern Coastal Grassland
2132,Central Mixedgrass Prairie
2133,Chihuahuan Sandy Plains Semi-Desert Grassland
2134,Columbia Basin Foothill and Canyon Dry Grassland
2135,Inter-Mountain Basins Semi-Desert Grassland
2136,Mediterranean California Alpine Dry Tundra
2137,Mediterranean California Subalpine Meadow
2138,North Pacific Montane Grassland
2139,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
2140,Northern Rocky Mountain Subalpine-Upper Montane Grassland
2141,Northwestern Great Plains Mixedgrass Prairie
2142,Columbia Basin Palouse Prairie
2143,Rocky Mountain Alpine Fell-Field
2144,Rocky Mountain Alpine Turf
2145,Rocky Mountain Subalpine-Montane Mesic Meadow
2146,Southern Rocky Mountain Montane-Subalpine Grassland
2147,Western Great Plains Foothill and Piedmont Grassland
2148,Western Great Plains Sand Prairie
2149,Western Great Plains Shortgrass Prairie
2150,Western Great Plains Tallgrass Prairie
2151,California Central Valley Riparian Woodland and Shrubland
2152,California Montane Riparian Systems
2153,Inter-Mountain Basins Greasewood Flat
2154,Inter-Mountain Basins Montane Riparian Systems
2155,North American Warm Desert Riparian Systems
2156,North Pacific Lowland Riparian Forest and Shrubland
2157,North Pacific Swamp Systems
2158,North Pacific Montane Riparian Woodland and Shrubland
2159,Rocky Mountain Montane Riparian Systems
2160,Rocky Mountain Subalpine/Upper Montane Riparian Systems
2161,Northern Rocky Mountain Conifer Swamp
2162,Western Great Plains Floodplain Systems
2163,Pacific Coastal Marsh Systems
2164,Rocky Mountain Wetland-Herbaceous
2165,Northern Rocky Mountain Foothill Conifer Wooded Steppe
2166,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
2167,Rocky Mountain Poor-Site Lodgepole Pine Forest
2168,Northern Rocky Mountain Avalanche Chute Shrubland
2169,Northern Rocky Mountain Subalpine Deciduous Shrubland
2170,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral
2171,North Pacific Alpine and Subalpine Dry Grassland
2172,Sierran-Intermontane Desert Western White Pine-White Fir Woodland
2173,North Pacific Wooded Volcanic Flowage
2174,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest
2175,North Pacific Interior Spruce-Fir Forest and Woodland
2177,California Coastal Closed-Cone Conifer Forest and Woodland
2178,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest
2179,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna
2180,Introduced Riparian Vegetation
2181,Introduced Upland Vegetation-Annual Grassland
2182,Introduced Upland Vegetation-Perennial Grassland and Forbland
2183,Introduced Upland Vegetation-Annual and Biennial Forbland
2184,California Annual Grassland
2185,Introduced Wetland Vegetation-Mixed
2186,Introduced Upland Vegetation-Shrub
2187,Introduced Upland Vegetation-Treed
2188,Transitional Herbacous Vegetation
2189,Transitional Shrub Vegetation
2190,Cultivated Crops and Irrigated Agriculture
2191,Recently Logged-Herb and Grass Cover
2192,Recently Logged-Shrub Cover
2193,Recently Logged-Tree Cover
2194,Ruderal Upland-Treed
2195,Recently Burned-Herb and Grass Cover
2196,Recently Burned-Shrub Cover
2197,Recently Burned-Tree Cover
2198,Recently Burned Herbaceous Wetlands
2200,Pseudotsuga menziesii-Quercus garryana Woodland Alliance
2201,Quercus garryana Woodland Alliance
2202,Juniperus occidentalis Wooded Herbaceous Alliance
2203,Juniperus occidentalis Woodland Alliance
2204,Tsuga heterophylla Giant Forest Alliance
2205,Tsuga mertensiana-Abies amabilis Woodland Alliance
2206,Pseudotsuga menziesii Giant Forest Alliance
2207,Chamaecyparis nootkatensis Forest Alliance
2208,Abies concolor Forest Alliance
2210,Coleogyne ramosissima Shrubland Alliance
2211,Grayia spinosa Shrubland Alliance
2212,Artemisia filifolia Shrubland Alliance
2213,Quercus havardii Shrubland Alliance
2214,Arctostaphylos patula Shrubland Alliance
2215,Quercus turbinella Shrubland Alliance
2216,Cercocarpus montanus Shrubland Alliance
2217,Quercus gambelii Shrubland Alliance
2218,Purshia tridentata Shrubland Alliance
2219,Artemisia arbuscula ssp. arbuscula Shrubland Alliance
2220,Artemisia tridentata ssp. vaseyana Shrubland Alliance
2221,Yucca glauca Shrub Herbaceous Alliance
2222,Artemisia tridentata ssp. wyomingensis Shrub Herbaceous Alliance
2223,Gutierrezia sarothrae Dwarf-Shrubland Alliance
2224,Elaeagnus angustifolia Semi-Natural Woodland Alliance
2225,Tamarisk spp. Semi-Natural Temporarily Flooded Shrubland Alliance
2226,Bromus spp. Semi-Natural Herbaceous Alliance
2227,Pseudotsuga menziesii Forest Alliance
2228,Larix occidentalis Forest Alliance
2229,Pinus albicaulis Woodland Alliance
2230,Pinus sabiniana Woodland Alliance
2231,Sequoiadendron giganteum Forest Alliance
2232,Abies grandis Forest Alliance
2301,Boreal Aspen-Birch Forest
2302,Laurentian-Acadian Northern Hardwoods Forest
2303,Northeastern Interior Dry-Mesic Oak Forest
2304,Ozark-Ouachita Dry-Mesic Oak Forest
2305,Southern Interior Low Plateau Dry-Mesic Oak Forest
2306,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland
2307,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest
2308,Crosstimbers Oak Forest and Woodland
2309,Southern Appalachian Northern Hardwood Forest
2310,North-Central Interior Dry-Mesic Oak Forest and Woodland
2311,North-Central Interior Dry Oak Forest and Woodland
2312,Ouachita Montane Oak Forest
2313,North-Central Interior Beech-Maple Forest
2314,North-Central Interior Maple-Basswood Forest
2315,Southern Appalachian Oak Forest
2316,Southern Piedmont Mesic Forest
2317,Allegheny-Cumberland Dry Oak Forest and Woodland
2318,Southern and Central Appalachian Cove Forest
2320,Central and Southern Appalachian Montane Oak Forest
2321,South-Central Interior Mesophytic Forest
2322,Crowley's Ridge Mesic Loess Slope Forest
2323,West Gulf Coastal Plain Mesic Hardwood Forest
2324,Northern Atlantic Coastal Plain Hardwood Forest
2325,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest
2326,South-Central Interior/Upper Coastal Plain Flatwoods
2327,East Gulf Coastal Plain Northern Loess Bluff Forest
2328,Southern Coastal Plain Limestone Forest
2329,East Gulf Coastal Plain Southern Loess Bluff Forest
2330,Southern Coastal Plain Dry Upland Hardwood Forest
2331,Eastern Great Plains Tallgrass Aspen Parkland
2333,South Florida Hardwood Hammock
2334,Ozark-Ouachita Mesic Hardwood Forest
2335,Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest
2336,Southwest Florida Coastal Strand and Maritime Hammock
2337,Southeast Florida Coastal Strand and Maritime Hammock
2338,Central and South Texas Coastal Fringe Forest and Woodland
2339,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland
2340,Appalachian Shale Barrens
2341,Northwestern Great Plains Canyon
2342,Piedmont Hardpan Woodland and Forest
2343,Southern Atlantic Coastal Plain Mesic Hardwood Forest
2344,Boreal Jack Pine-Black Spruce Forest
2346,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland
2347,Atlantic Coastal Plain Upland Longleaf Pine Woodland
2348,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland
2349,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland
2350,Central and Southern Appalachian Spruce-Fir Forest
2351,Southeastern Interior Longleaf Pine Woodland
2352,Southern Appalachian Montane Pine Forest and Woodland
2353,Southern Appalachian Low-Elevation Pine Forest
2354,Northeastern Interior Pine Barrens
2355,Northern Atlantic Coastal Plain Pitch Pine Barrens
2356,Florida Longleaf Pine Sandhill
2357,Southern Coastal Plain Mesic Slope Forest
2358,East-Central Texas Plains Pine Forest and Woodland
2360,South Florida Pine Rockland
2361,Central Atlantic Coastal Plain Maritime Forest
2362,Laurentian-Acadian Northern Pine(-Oak) Forest
2363,Central Interior Highlands Dry Acidic Glade and Barrens
2364,Ozark-Ouachita Dry Oak Woodland
2365,Boreal White Spruce-Fir-Hardwood Forest
2366,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
2367,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland
