Value,EVT_Name
2368,Southern Piedmont Dry Oak(-Pine) Forest
2369,Central Appalachian Dry Oak-Pine Forest
2370,Appalachian (Hemlock-)Northern Hardwood Forest
2371,West Gulf Coastal Plain Pine-Hardwood Forest
2372,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest
2373,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
2374,Acadian-Appalachian Montane Spruce-Fir Forest
2375,Eastern Serpentine Woodland
2376,Southern Ridge and Valley/Cumberland Dry Calcareous Forest
2377,Central Appalachian Pine-Oak Rocky Woodland
2378,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland
2379,Northern Atlantic Coastal Plain Maritime Forest
2380,East Gulf Coastal Plain Maritime Forest
2381,Lower Mississippi River Dune Woodland and Forest
2382,Southern Atlantic Coastal Plain Maritime Forest
2383,Edwards Plateau Limestone Savanna and Woodland
2384,Mississippi Delta Maritime Forest
2385,Western Great Plains Wooded Draw and Ravine
2386,Acadian-Appalachian Alpine Tundra
2387,Florida Peninsula Inland Scrub
2389,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz
2390,Tamaulipan Mixed Deciduous Thornscrub
2391,Tamaulipan Mesquite Upland Scrub
2392,Tamaulipan Calcareous Thornscrub
2393,Edwards Plateau Limestone Shrubland
2394,North-Central Interior Oak Savanna
2395,North-Central Oak Barrens
2397,Nashville Basin Limestone Glade and Woodland
2398,Cumberland Sandstone Glade and Barrens
2400,Central Appalachian Alkaline Glade and Woodland
2401,Central Interior Highlands Calcareous Glade and Barrens
2403,West Gulf Coastal Plain Catahoula Barrens
2405,West Gulf Coastal Plain Nepheline Syenite Glade
2407,Laurentian Pine-Oak Barrens
2408,Alabama Ketona Glade and Woodland
2409,Great Lakes Alvar
2410,Llano Uplift Acidic Forest-Woodland-Glade
2411,Great Lakes Wet-Mesic Lakeplain Prairie
2412,North-Central Interior Sand and Gravel Tallgrass Prairie
2413,Bluegrass Savanna and Woodland
2414,Southern Appalachian Grass and Shrub Bald
2415,Arkansas Valley Prairie and Woodland
2416,Western Highland Rim Prairie and Barrens
2417,Eastern Highland Rim Prairie and Barrens
2418,Pennyroyal Karst Plain Prairie and Barrens
2419,Southern Ridge and Valley Patch Prairie
2420,Northern Tallgrass Prairie
2421,Central Tallgrass Prairie
2422,Texas Blackland Tallgrass Prairie
2423,Southeastern Great Plains Tallgrass Prairie
2425,Florida Dry Prairie
2426,Southern Atlantic Coastal Plain Dune and Maritime Grassland
2428,West Gulf Coastal Plain Northern Calcareous Prairie
2429,West Gulf Coastal Plain Southern Calcareous Prairie
2430,Southern Coastal Plain Blackland Prairie and Woodland
2433,East Gulf Coastal Plain Jackson Prairie and Woodland
2434,Texas-Louisiana Coastal Prairie
2435,East Gulf Coastal Plain Dune and Coastal Grassland
2436,Northern Atlantic Coastal Plain Dune and Swale
2437,Central and Upper Texas Coast Dune and Coastal Grassland
2438,Tamaulipan Savanna Grassland
2439,South Texas Lomas
2440,Tamaulipan Clay Grassland
2441,Tamaulipan Tallgrass Grassland
2442,South Texas Sand Sheet Grassland
2443,South Texas Dune and Coastal Grassland
2444,Eastern Boreal Floodplain
2445,South Florida Dwarf Cypress Savanna
2446,South Florida Pine Flatwoods
2447,South Florida Cypress Dome
2449,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods
2450,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods
2451,West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods
2452,Atlantic Coastal Plain Peatland Pocosin and Canebrake
2453,Central Florida Pine Flatwoods
2454,East Gulf Coastal Plain Near-Coast Pine Flatwoods
2455,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods
2456,Northern Atlantic Coastal Plain Pitch Pine Lowland
2457,South-Central Interior/Upper Coastal Plain Wet Flatwoods
2458,West Gulf Coastal Plain Pine-Hardwood Flatwoods
2459,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland
2460,Southern Coastal Plain Nonriverine Cypress Dome
2461,Southern Coastal Plain Seepage Swamp and Baygall
2462,West Gulf Coastal Plain Seepage Swamp and Baygall
2466,Great Lakes Wooded Dune and Swale
2467,Tamaulipan Floodplain
2468,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall
2469,Eastern Great Plains Floodplain Systems
2470,Caribbean Coastal Wetland Systems
2471,Central Interior and Appalachian Floodplain Systems
2472,Central Interior and Appalachian Riparian Systems
2473,Gulf and Atlantic Coastal Plain Floodplain Systems
2474,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
2475,Laurentian-Acadian Floodplain Systems
2476,Tamaulipan Riparian Systems
2477,Boreal Acidic Peatland Systems
2478,Caribbean Swamp Systems
2479,Central Interior and Appalachian Swamp Systems
2480,Gulf and Atlantic Coastal Plain Swamp Systems
2481,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp
2482,Great Plains Prairie Pothole
2483,South Florida Everglades Sawgrass Marsh
2484,South Florida Wet Marl Prairie
2485,East Gulf Coastal Plain Savanna and Wet Prairie
2486,Texas Saline Coastal Prairie
2488,Eastern Great Plains Wet Meadow-Prairie-Marsh
2489,Floridian Highlands Freshwater Marsh
2490,Gulf and Atlantic Coastal Plain Tidal Marsh Systems
2491,Acadian Salt Marsh and Estuary Systems
2492,Great Lakes Coastal Marsh Systems
2493,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems
2494,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
2495,Western Great Plains Depressional Wetland Systems
2497,Central Interior and Appalachian Sparsely Vegetated Systems
2498,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems
2499,Laurentian-Acadian Sparsely Vegetated Systems
2501,Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest
2503,Chihuahuan Loamy Plains Desert Grassland
2504,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland
2506,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods
2507,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland
2509,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest
2510,Crowley's Ridge Sand Forest
2513,Lower Mississippi River Flatwoods
2516,Atlantic Coastal Plain Sandhill Seep
2517,Paleozoic Plateau Bluff and Talus
2518,North-Central Interior Wet Flatwoods
2519,East-Central Texas Plains Post Oak Savanna and Woodland
2521,West Gulf Coastal Plain Stream Terrace Sandyland Longleaf Pine Woodland
2522,Northern Atlantic Coastal Plain Heathland and Grassland
2523,Edwards Plateau Dry-Mesic Slope Forest and Woodland
2524,Edwards Plateau Mesic Canyon
2525,Edwards Plateau Riparian
2526,Laurentian-Acadian Swamp Systems
2530,Ruderal Wetland
2531,Ruderal Upland-Old Field
2532,Ruderal Forest-Northern and Central Hardwood and Conifer
2533,Ruderal Forest-Southeast Hardwood and Conifer
2534,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group
2535,Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group
2536,Introduced Wetland Vegetation-Tree
2537,Introduced Wetland Vegetation-Shrub
2538,Introduced Wetland Vegetation-Herbaceous
2539,Modified-Managed Northern Tall Grassland
2540,Modified-Managed Southern Tall Grassland
2541,Recently Disturbed Developed Upland Deciduous Forest
2542,Recently Disturbed Developed Upland Evergreen Forest
2543,Recently Disturbed Developed Upland Mixed Forest
2544,Recently Disturbed Developed Upland Herbaceous
2545,Recently Disturbed Developed Upland Shrubland
2546,Recently Disturbed Developed Herbaceous Wetland Vegetation
2547,Recently Disturbed Developed Woody Wetland Vegetation
2548,Recently Disturbed Orchard Vegetation
2549,Recently Disturbed Pasture and Hayland
2550,Pinus taeda Forest Alliance
2551,Pinus elliottii Saturated Temperate Woodland Alliance
2552,Pinus palustris-Pinus elliottii Forest Alliance
2553,Mixed Loblolly-Slash Pine
2554,Norway Spruce Forest
2555,Scotch Pine Forest
2557,Pinus strobus Forest Alliance
2558,Pinus resinosa Forest Alliance
2559,Pinus virginiana Forest Alliance
2560,Pinus banksiana Forest Alliance
2600,Western North American Boreal White Spruce Forest
2601,Western North American Boreal Treeline White Spruce Woodland
2602,Western North American Boreal Spruce-Lichen Woodland
2603,Western North American Boreal White Spruce-Hardwood Forest
2604,Western North American Boreal Mesic Black Spruce Forest
2605,Western North American Boreal Mesic Birch-Aspen Forest
2606,Western North American Boreal Dry Aspen-Steppe Bluff
2607,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland
2608,Alaska Sub-boreal Avalanche Slope Shrubland
2609,Alaska Sub-boreal Mesic Subalpine Alder Shrubland
2610,Western North American Boreal Mesic Scrub Birch-Willow Shrubland
2611,Western North American Sub-boreal Mesic Bluejoint Meadow
2612,Western North American Boreal Dry Grassland
2613,Western North American Boreal Active Inland Dune
2614,Western North American Boreal Montane Floodplain Forest and Shrubland
2615,Western North American Boreal Lowland Large River Floodplain Forest and Shrubland
2616,Western North American Boreal Riparian Stringer Forest and Shrubland
2617,Western North American Boreal Shrub and Herbaceous Floodplain Wetland
2618,Western North American Boreal Herbaceous Fen
2619,Western North American Boreal Sedge-Dwarf-Shrub Bog
2620,Western North American Boreal Low Shrub Peatland
2621,Western North American Boreal Black Spruce Dwarf-Tree Peatland
2622,Western North American Boreal Black Spruce Wet-Mesic Slope Woodland
2623,Western North American Boreal Black Spruce-Tamarack Fen
2624,Western North American Boreal Deciduous Shrub Swamp
2625,Western North American Boreal Freshwater Emergent Marsh
2626,Western North American Boreal Wet Meadow
2627,Western North American Boreal Freshwater Aquatic Bed
2628,Western North American Boreal Low Shrub-Tussock Tundra
2629,Western North American Boreal Tussock Tundra
2630,Western North American Boreal Wet Black Spruce-Tussock Woodland
2631,Western North American Boreal Alpine Dwarf-Shrub Summit
2632,Western North American Boreal Alpine Talus and Bedrock
2633,Western North American Boreal Alpine Mesic Herbaceous Meadow
2634,Western North American Boreal Alpine Dryas Dwarf-Shrubland
2635,Western North American Boreal Alpine Ericaceous Dwarf-Shrubland
2636,Western North American Boreal Alpine Dwarf-Shrub-Lichen Shrubland
2637,Western North American Boreal Alpine Floodplain
2638,Alaska Arctic Mesic Alder Shrubland
2639,Alaska Arctic Mesic-Wet Willow Shrubland
2640,Aleutian Mesic-Wet Willow Shrubland
2642,Aleutian Kenai Birch-Cottonwood-Poplar Forest
2643,Alaskan Pacific Maritime Alpine Dwarf-Shrubland
2644,Alaskan Pacific Maritime Sitka Spruce Forest
2645,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow
2646,Alaskan Pacific Maritime Western Hemlock Forest
2647,Aleutian Shrub-Sedge Peatland
2648,Alaskan Pacific Maritime Mountain Hemlock Forest
2649,Alaskan Pacific Maritime Subalpine Mountain Hemlock Woodland
2650,Alaskan Pacific Maritime Periglacial Woodland and Shrubland
2651,Aleutian Mesic Herbaceous Meadow
2652,Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland
2653,Alaskan Pacific Maritime Mesic Herbaceous Meadow
2654,Alaskan Pacific Maritime Sitka Spruce Beach Ridge
2655,Alaskan Pacific Maritime Floodplain Forest and Shrubland
2656,Alaskan Pacific Maritime Shrub and Herbaceous Floodplain Wetland
2657,Alaskan Pacific Maritime Shore Pine Peatland
2658,Alaskan Pacific Maritime Dwarf-shrub-Sphagnum Peatland
2659,Alaskan Pacific Maritime Mountain Hemlock Peatland
2660,Alaskan Pacific Maritime Wet Low Shrubland
2661,Alaskan Pacific Maritime Fen and Wet Meadow
2662,Temperate Pacific Freshwater Emergent Marsh
2663,North Pacific Shrub Swamp
2664,Temperate Pacific Freshwater Aquatic Bed
2665,Alaskan Pacific Maritime Coastal Meadow and Slough-Levee
2666,Alaskan Pacific Maritime Coastal Dune-Beach and Beach Meadow
2667,Alaskan Pacific Maritime Rocky Coastline
2668,Temperate Pacific Tidal Salt and Brackish Marsh
2669,Temperate Pacific Intertidal Flat
2670,North Pacific Maritime Eelgrass Bed
2671,Aleutian American Dunegrass Grassland
2672,Alaskan Pacific Maritime Subalpine Copperbush Shrubland
2673,Alaskan Pacific Maritime Alpine Wet Meadow
2674,Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-field
2676,Alaskan Pacific Maritime Alpine Floodplain
2677,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland
2678,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest
2679,Alaska Sub-boreal White Spruce-Hardwood Forest
2680,Alaskan Pacific Maritime Avalanche Slope Shrubland
2681,Alaskan Pacific Maritime Poorly Drained Conifer Woodland
2682,Alaska Arctic Scrub Birch-Ericaceous Shrubland
2683,Alaska Arctic Mesic Sedge-Willow Tundra
2684,Alaska Arctic Mesic Sedge-Dryas Tundra
2685,Alaska Arctic Acidic Sparse Tundra
2686,Alaska Arctic Non-Acidic Sparse Tundra
2687,Alaska Arctic Lichen Tundra
2688,Alaska Arctic Acidic Dryas Dwarf-Shrubland
2689,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland
2690,Alaska Arctic Dwarf-Shrubland
2691,Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra
2692,Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra
2693,Alaska Arctic Shrub-Tussock Tundra
2694,Alaska Arctic Tussock Tundra
2695,Alaska Arctic Tussock-Lichen Tundra
2696,Alaska Arctic Freshwater Aquatic Bed
2697,Alaska Arctic Pendantgrass Freshwater Marsh
2698,Alaska Arctic Wet Sedge Meadow
2699,Alaska Arctic Mesic Herbaceous Meadow
2700,Alaska Arctic Polygonal Ground Mesic Shrub Tundra
2701,Alaska Arctic Coastal Sedge-Dwarf-Shrubland
2702,Alaska Arctic Wet Sedge-Sphagnum Peatland
2703,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland
2704,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra
2705,Alaska Arctic Sedge Freshwater Marsh
2706,Alaska Arctic Polygonal Ground Wet Sedge Tundra
2707,Alaska Arctic Polygonal Ground Tussock Tundra
2708,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra
2709,Alaska Arctic Marine Beach and Beach Meadow
2710,Alaska Arctic Tidal Flat
2711,Alaska Arctic Tidal Marsh
2712,Alaska Arctic Coastal Brackish Meadow
2713,Alaska Arctic Active Inland Dune
2714,Alaska Arctic Large River Floodplain
2715,Alaska Arctic Floodplain
2716,Aleutian Rocky Headland and Sea Cliff
2717,Alaska Arctic Bedrock and Talus
2718,Aleutian Mesic Alder-Salmonberry Shrubland
2719,Aleutian Crowberry-Herbaceous Heath
2720,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland
2721,Aleutian Freshwater Aquatic Bed
2722,Aleutian Freshwater Marsh
2723,Aleutian Wet Meadow and Herbaceous Peatland
2724,Aleutian Nonvascular Peatland
2725,Aleutian Marine Beach and Beach Meadow
2726,Aleutian Tidal Marsh
2727,Aleutian Shrub and Herbaceous Meadow Floodplain
2728,Aleutian Floodplain Forest and Shrubland
2729,Aleutian Floodplain Wetland
2730,Aleutian Sparse Heath and Fell-Field
2731,Aleutian Oval-leaf Blueberry Shrubland
2732,Aleutian Volcanic Rock and Talus
2733,North Pacific Montane Massive Bedrock-Cliff and Talus
2734,North Pacific Alpine and Subalpine Bedrock and Scree
2735,North American Glacier and Ice Field
2806,Hawaii Bog
2808,Hawaii Lowland Rainforest
2809,Hawaii Montane Cloud Forest
2810,Hawaii Montane Rainforest
2811,Hawaii Wet Cliff and Ridge Crest Shrubland
2813,Hawaii Lowland Dry Forest
2814,Hawaii Lowland Mesic Forest
2815,Hawaii Montane-Subalpine Dry Forest and Woodland
2816,Hawaii Montane-Subalpine Mesic Forest
2817,Hawaii Lowland Dry Shrubland
2818,Hawaii Lowland Mesic Shrubland
2819,Hawaii Lowland Dry Grassland
2820,Hawaii Lowland Mesic Grassland
2821,Hawaii Montane-Subalpine Dry Shrubland
2822,Hawaii Montane-Subalpine Dry Grassland
2823,Hawaii Montane-Subalpine Mesic Grassland
2824,Hawaii Alpine Dwarf-Shrubland
2825,Hawaii Dry Cliff
2826,Hawaii Dry Coastal Strand
2827,Hawaii Wet-Mesic Coastal Strand
2828,Hawaii Subalpine Mesic Shrubland
2829,Hawaii Alpine Bedrock and Scree
2831,Hawaii Dry-Site Lava Flow
2836,Hawaiian Introduced Wetland Vegetation-Tree
2837,Hawaiian Introduced Wetland Vegetation-Shrub
2838,Hawaiian Introduced Wetland Vegetation-Herbaceous
2845,Hawaiian Introduced Dry Forest
2846,Hawaiian Introduced Wet-Mesic Forest
2847,Hawaiian Introduced Deciduous Shrubland
2848,Hawaiian Introduced Perennial Grassland
2849,Hawaiian Introduced Evergreen Shrubland
2852,Introduced Coastal Wetland Vegetation - Tree
2853,Introduced Coastal Wetland Vegetation - Shrub
2854,Introduced Coastal Wetland Vegetation - Herbaceous
2855,Hawaiian Managed Tree Plantation
